Aperture Center,Peak (Gaussian),Peak (Maximum),Line Center
860,6660.12,6659.662,3666
905,6660.26,6659.038,3667
915,6660.27,6659.05,3667
925,6661.01,6659.029,3668
882.65,6661.25,6660.846,3667
