Aperture Center,Peak (Gaussian),Line Center
557,6881.42,2385
510,6878.56,2373
520,6878.58,2375
530,6879.29,2379
540,6879.63,2381
570,6881.29,2385
587,6881.26,2385
610,6881.25,2385
