Aperture Center,Peak (Gaussian),Peak (Maximum)
480,6608.66,6608.74
490,6608.47,6608.418
500,6608.49,6608.74
510,6608.94,6608.739
545,6609.29,6609.063
527.99,6609.42,6609.385
