Aperture Center,Peak (Gaussian),Peak (Maximum),Line Center
480,6608.5,6608.722,1572
490,6608.42,6608.398,1570
500,6608.42,6608.399,1571
510,6608.91,6609.043,1572
545,6609.27,6609.364,1573
565,6610.55,6610.979,1577
575,6611.01,6611.3,1579
585,6611.16,6610.976,1580
595,6610.38,6610.332,1577
605,6610.17,6610.01,1576
527.75,6609.43,6609.366,1572
