object,ra,dec
SN 2013cj,17:04:52.951,+12:55:10.42
SN 2013W,10:06:34.020,+14:25:57.79
SN 2013L,11:45:29.551,-50:35:53.09
SN 2012hk,10:41:15.341,+37:33:21.82
SN 2012fp,03:32:43.200,-27:10:33.31
SN 2012cz,15:57:46.361,+16:22:27.41
SN 2012cq,09:08:05.460,+20:30:12.49
SN 2012ca,18:41:07.250,-41:47:38.40
SN 2012bq,10:16:38.650,-06:46:36.19
SN 2012as,15:25:08.520,+37:57:49.39
SN 2012am,10:54:01.670,+46:01:38.89
SN 2012al,10:06:11.609,+47:17:40.60
SN 2012ab,12:22:47.599,+05:36:24.98
SN 2012Y,04:50:27.830,-03:29:24.50
SN 2011jc,03:38:34.390,+22:32:59.50
SN 2011jb,11:37:04.800,+15:28:14.20
SN 2011iw,23:34:48.199,+24:45:01.58
SN 2011ib,11:44:39.269,+35:58:03.90
SN 2011hw,22:26:14.539,+34:12:59.11
SN 2011ht,10:08:10.589,+51:50:57.01
SN 2011fx,00:17:59.561,+24:33:46.01
SN 2011fr,01:29:45.799,+18:53:07.19
SN 2011fh,12:56:14.009,-29:29:54.82
SN 2011ey,13:19:19.121,-04:51:05.90
SN 2011eu,14:09:15.290,-01:10:54.70
SN 2011cw,14:47:39.550,+51:41:04.70
SN 2011cp,07:52:32.609,+21:53:29.69
SN 2011cc,16:33:49.440,+39:15:48.71
SN 2011ap,18:10:28.411,+31:00:34.31
SN 2011an,07:59:24.420,+16:25:08.18
SN 2011af,02:25:54.360,+10:23:11.11
SN 2011S,09:13:54.050,-17:00:39.31
SN 2011P,02:25:44.801,+16:12:56.02
SN 2011A,13:01:01.190,-14:31:34.79
SN 2010mc,17:21:30.679,+48:07:47.39
SN 2010lx,04:44:44.570,-22:12:19.12
SN 2010kb,08:20:47.410,+35:53:37.50
SN 2010jy,23:09:43.579,+05:41:56.18
SN 2010js,08:16:49.639,+60:29:46.00
SN 2010jp,06:16:30.629,-21:24:36.29
SN 2010jl,09:42:53.330,+09:29:41.78
SN 2010jk,01:12:35.630,+15:28:28.49
SN 2010jj,02:06:52.229,+44:34:17.51
