"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"37001","SN 2019ekv","16:20:21.569","-14:04:05.11","SN IIn","0.048","","","ZTF","ZTF","ZTF","ZTF19aarxrem","P48 - ZTF-Cam","","1","1","","18.77","r-ZTF","2019-04-25 08:54:14","ZTF_Bot1","",""
"36965","SN 2019ejp","14:08:28.588","+29:16:11.10","SN IIn","0.118","","","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","ePESSTO+","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF19aasekcx","P48 - ZTF-Cam, ATLAS1 - ACAM1, Gaia - Gaia-photometric, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.5","r-ZTF","2019-04-29 06:28:18","ZTF_AMPEL_NEW","",""
"36711","SN 2019dzw","17:31:09.957","-08:27:02.60","SN IIn","0.028","","","ZTF","ePESSTO+","ZTF","ZTF19aarzaod","P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","20.47","g-ZTF","2019-04-25 10:27:50","ZTF_Bot1","",""
"36604","SN 2019dvv","12:23:17.770","+19:43:23.27","SN IIn","0.0305","","","ZTF, GaiaAlerts, ATLAS","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF19aapzbjr","P48 - ZTF-Cam, Gaia - Gaia-photometric, ATLAS1 - ACAM1","P200 - DBSP","1","1","","19.66","g-ZTF","2019-04-23 05:28:03","ZTF_AMPEL_COMPLETE","",""
"36395","SN 2019dnz","19:48:31.477","+02:54:49.50","SN IIn","0.025","","","ZTF, ATLAS","TCD, ZTF","ATLAS; ZTF","ZTF19aaqasrq","P48 - ZTF-Cam, ATLAS1 - ACAM1","LT - SPRAT, P60 - SEDM","1","1","","18.56","r-ZTF","2019-04-12 10:36:28","ZTF_Bot1","",""
"36108","SN 2019dde","14:28:12.040","-01:36:14.99","SN IIn","0.057","","","ZTF, MASTER, Pan-STARRS1","ZTF, None","MASTER; Pan-STARRS1; ZTF","ZTF19aaozsuh","P48 - ZTF-Cam, Other - Other, PS1 - GPC1","P60 - SEDM, SOAR - Goodman","1","1","","18.11","g-ZTF","2019-04-09 06:33:00","ZTF_AMPEL_NEW","",""
"35856","SN 2019ctt","10:00:42.285","+12:02:23.34","SN IIn","0.046","","","ZTF","SCAT, ZTF","ZTF","ZTF19aanfqug","P48 - ZTF-Cam","UH88 - SNIFS","1","1","","19.31","g-ZTF","2019-03-30 05:00:25","ZTF_AMPEL_COMPLETE","",""
"35779","SN 2019cqw","09:06:16.335","+67:30:50.08","SN IIn","0.049","","","ZTF","SCAT","ZTF","ZTF19aanqzhm","P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.94","g-ZTF","2019-03-30 04:46:26","ZTF_AMPEL_NEW","",""
"35342","SN 2019cbc","18:06:09.172","+65:20:46.91","SN IIn","0.02","","","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","Padova-Asiago","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF19aamljom","P48 - ZTF-Cam, ATLAS1 - ACAM1, Gaia - Gaia-photometric, PS1 - GPC1","Ekar - AFOSC","1","1","","16.78","r-ZTF","2019-03-15 12:38:52","ZTF_Bot1","",""
"35315","SN 2019cac","13:50:43.901","-02:30:25.01","SN IIn","0.0467","","","ZTF, ATLAS, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ZTF19aaksxgp","P48 - ZTF-Cam, ATLAS1 - ACAM1, PS1 - GPC1","P60 - SEDM","1","1","","19.51","g-ZTF","2019-02-12 11:25:26","ZTF_Bot1","",""
"35301","SN 2019bzq","14:01:38.386","+14:24:54.97","SN IIn","0.285","","","ZTF, ATLAS","ePESSTO","ATLAS; ZTF","ZTF19aailptb","P48 - ZTF-Cam, ATLAS1 - ACAM1","ESO-NTT - EFOSC2-NTT","1","1","","19.8162","g-ZTF","2019-02-08 11:18:08","Nordin","",""
"35249","SN 2019bxq","16:57:58.508","+78:36:13.58","SN IIn","0.014","","","ZTF, Pan-STARRS1","ZTF","Pan-STARRS1; ZTF","ZTF19aamkmxv","P48 - ZTF-Cam, PS1 - GPC1","P200 - DBSP","1","1","","18.32","r-ZTF","2019-03-15 08:52:34","ZTF_AMPEL_NEW","",""
"35208","SN 2019bwb","10:48:26.400","-45:41:31.20","SN IIn","0.02","","","ATLAS, GaiaAlerts","ePESSTO","ATLAS; GaiaAlerts","ATLAS19dzi","ATLAS1 - ACAM1, Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","18.285","orange-ATLAS","2019-03-17 10:01:55","ATLAS_Bot1","",""
"34250","SN 2019alr","23:40:07.160","+16:29:04.31","SN IIn","0.083","","","GaiaAlerts, ATLAS, ZTF, Pan-STARRS1","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","Gaia19aky","Gaia - Gaia-photometric, ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.92","G-Gaia","2019-02-02 07:26:24","Gaia_Bot1","",""
