,koaid,instrument,targname,koaimtyp,frameno,ra,dec,date_obs,ut,elaptime,semid,proginst,progpi,progtitl,fileurl
113891,DE.20140626.48372.fits,DEIMOS,SN2013dn,object,93,354.4338800000001,14.713080000000001,2014-06-26,13:26:12.66,1200.0,2014A_U067D,UCB,Filippenko,Keck-UC Time-domain Exploration (KUTE): An LMAP Program,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata19/DEIMOS/20140626/lev0/DE.20140626.48372.fits
103917,DE.20131008.20489.fits,DEIMOS,SN2013cj,object,30,256.21883,12.936610000000005,2013-10-08,05:41:29.35,52.0,2013B_U063D,UCB,Filippenko,Keck-UC Time-domain Exploration (KUTE): An LMAP Program,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata19/DEIMOS/20131008/lev0/DE.20131008.20489.fits
103918,DE.20131008.20654.fits,DEIMOS,SN2013cj,object,31,256.21388,12.92092,2013-10-08,05:44:14.60,265.0,2013B_U063D,UCB,Filippenko,Keck-UC Time-domain Exploration (KUTE): An LMAP Program,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata19/DEIMOS/20131008/lev0/DE.20131008.20654.fits
103919,DE.20131008.21027.fits,DEIMOS,SN2013cj,object,32,256.21388,12.920889999999998,2013-10-08,05:50:27.60,108.0,2013B_U063D,UCB,Filippenko,Keck-UC Time-domain Exploration (KUTE): An LMAP Program,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata19/DEIMOS/20131008/lev0/DE.20131008.21027.fits
99510,DE.20130802.52260.fits,DEIMOS,SN2013dz,object,59,44.601580000000006,36.28447,2013-08-02,14:31:00.30,300.0,2013B_U063D,UCB,Filippenko,Keck-UC Time-domain Exploration (KUTE): An LMAP Program,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata19/DEIMOS/20130802/lev0/DE.20130802.52260.fits
102345,DE.20130910.52213.fits,DEIMOS,SN2013dz,object,62,44.59171,36.29322,2013-09-10,14:30:13.77,300.0,2013B_U063D,UCB,Filippenko,Keck-UC Time-domain Exploration (KUTE): An LMAP Program,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata19/DEIMOS/20130910/lev0/DE.20130910.52213.fits
89449,DE.20120923.30451.fits,DEIMOS,SN 2008gm,object,71,348.58667,-2.77658,2012-09-23,08:27:31.75,1200.0,2012B_U037LA,UCB,Filippenko,Keck-UC Time-domain Exploration (KUTE): An LMAP Program,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata18/DEIMOS/20120923/lev0/DE.20120923.30451.fits
89450,DE.20120923.31728.fits,DEIMOS,SN 2008gm,object,72,348.58667,-2.77658,2012-09-23,08:48:48.70,1200.0,2012B_U037LA,UCB,Filippenko,Keck-UC Time-domain Exploration (KUTE): An LMAP Program,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata18/DEIMOS/20120923/lev0/DE.20120923.31728.fits
89452,DE.20120923.33516.fits,DEIMOS,SN 2008en,object,74,13.851790000000001,35.42731,2012-09-23,09:18:36.55,1200.0,2012B_U037LA,UCB,Filippenko,Keck-UC Time-domain Exploration (KUTE): An LMAP Program,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata18/DEIMOS/20120923/lev0/DE.20120923.33516.fits
89453,DE.20120923.34799.fits,DEIMOS,SN 2008en,object,75,13.851790000000001,35.42731,2012-09-23,09:39:59.85,1200.0,2012B_U037LA,UCB,Filippenko,Keck-UC Time-domain Exploration (KUTE): An LMAP Program,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata18/DEIMOS/20120923/lev0/DE.20120923.34799.fits
98572,DE.20130610.51234.fits,DEIMOS,SN2011iw,object,57,353.70082999999994,24.750500000000002,2013-06-10,14:13:54.85,900.0,2013A_U051D,UCB,Filippenko,Keck-UC Time-domain Exploration (KUTE): An LMAP Program,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata19/DEIMOS/20130610/lev0/DE.20130610.51234.fits
103929,DE.20131008.34053.fits,DEIMOS,SN2011iw,object,42,353.7244999999999,24.780920000000005,2013-10-08,09:27:33.45,600.0,2013B_U063D,UCB,Filippenko,Keck-UC Time-domain Exploration (KUTE): An LMAP Program,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata19/DEIMOS/20131008/lev0/DE.20131008.34053.fits
37467,DE.20070122.35494.fits,DEIMOS,sn 07K  17.2 II,object,99,138.59903999999997,36.15268999999999,2007-01-22,09:51:34.75,600.0,2006B_H246D,UH,Tonry,ESSENCE: Using Supernova to Measure the Equation of State of the Universe,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata18/DEIMOS/20070122/lev0/DE.20070122.35494.fits
37484,DE.20070122.57715.fits,DEIMOS,sn 06tf 17.2 II,object,116,191.57888000000005,11.39425,2007-01-22,16:01:55.57,300.0,2006B_H246D,UH,Tonry,ESSENCE: Using Supernova to Measure the Equation of State of the Universe,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata18/DEIMOS/20070122/lev0/DE.20070122.57715.fits
38253,DE.20070216.47231.fits,DEIMOS,sn 06tf 17.5 II,object,119,191.55883,11.448419999999997,2007-02-16,13:07:11.24,1200.0,2007A_U039D,UCB,Filippenko,The Early-Time Deceleration Test with Type Ia Supernovae,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata18/DEIMOS/20070216/lev0/DE.20070216.47231.fits
39045,DE.20070317.54287.fits,DEIMOS,sn 06tf 18.0 II,object,92,191.56174999999996,11.47336,2007-03-17,15:04:47.08,257.0,2007A_U039D,UCB,Filippenko,The Early-Time Deceleration Test with Type Ia Supernovae,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata18/DEIMOS/20070317/lev0/DE.20070317.54287.fits
36132,DE.20061124.44326.fits,DEIMOS,sn 06gy 14.2 II,object,38,49.35837,41.36460999999999,2006-11-24,12:18:46.30,194.0,2006B_H246D,UH,Tonry,ESSENCE: Using Supernova to Measure the Equation of State of the Universe,https://koa.ipac.caltech.edu/cgi-bin/getKOA/nph-getKOA?instrument=DE&filehand=/koadata18/DEIMOS/20061124/lev0/DE.20061124.44326.fits
