Aperture Center,Peak (Gaussian),Peak (Maximum),Line Center
655,6631.24,6630.623,3537
665,6632.57,6633.134,3539
695,6632.1,6632.508,3539
705,6632,6632.513,3539
681.09,6632.82,6633.764,3539
