Aperture Center,Peak (Gaussian),Peak (Maximum),Line Center
862.5,6664.49,6664.4,3674
867.5,6664.25,6664.351,3673
872.5,6664.47,6664.975,3672
890,6663.77,6660.506,3671
881.55,6664.54,6663.767,3672
