Aperture Center,Peak (Gaussian),Peak (Maximum)
485,6629.38,6629.375
495,6629.33,6629.373
505,6629.4,6629.376
515,6629.92,6630.016
540,6630.08,6630.015
585,6631.99,6631.953
595,6631.22,6630.987
