Aperture Center,Peak (Gaussian),Peak (Maximum),Line Center
515,6762.88,6762.674,3735
520,6762.35,6762.682,3734
525,6761.99,6762.046,3734
547.5,6761.57,6761.385,3734
537.5,6761.54,6762.644,3734
