Aperture Center,Peak (Gaussian),Peak (Maximum)
810,6724.29,6724.52
820,6723.59,6722.64
830,6723.79,6723.267
840,6725.35,6723.27
850,6725.03,6725.136
890,6728.68,6728.929
900,6728.68,6728.301
910,6729.11,6728.926
920,6729.28,6729.543
930,6728.18,6728.283
