Aperture Center,Peak (Gaussian),Peak (Maximum)
485,6629.44,6629.356
495,6629.34,6629.344
505,6629.43,6629.679
515,6629.9,6629.681
540,6630.09,6630.002
585,6631.96,6631.932
595,6631.25,6630.967
